Length,Scalar,Matrix
10,1.0e-7,2.0e-7
10,1.0e-7,3.0e-7
10,1.0e-7,2.0e-7
10,0.0,2.0e-7
10,0.0,2.0e-7
10,1.0e-7,2.0e-7
10,0.0,2.0e-7
10,0.0,2.0e-7
10,1.0e-7,3.0e-7
10,0.0,2.0e-7
35,1.0e-7,8.0e-7
35,1.0e-7,8.0e-7
35,1.0e-7,8.0e-7
35,0.0,7.0e-7
35,1.0e-7,7.0e-7
35,1.0e-7,2.3e-6
35,0.0,7.0e-7
35,1.0e-7,7.0e-7
35,0.0,7.0e-7
35,1.0e-7,7.0e-7
60,1.0e-7,2.0e-6
60,1.0e-7,3.9e-6
60,1.0e-7,1.9e-6
60,0.0,1.9e-6
60,1.0e-7,1.9e-6
60,1.0e-7,1.9e-6
60,0.0,1.9e-6
60,1.0e-7,1.9e-6
60,1.0e-7,1.9e-6
60,1.0e-7,2.0e-6
85,1.0e-7,5.2e-6
85,1.0e-7,3.6e-6
85,1.0e-7,3.6e-6
85,1.0e-7,8.8e-6
85,1.0e-7,3.7e-6
85,0.0,3.5e-6
85,1.0e-7,3.6e-6
85,1.0e-7,3.5e-6
85,1.0e-7,3.7e-6
85,1.0e-7,3.7e-6
110,1.0e-7,6.1e-6
110,1.0e-7,6.5e-6
110,1.0e-7,8.7e-6
110,1.0e-7,9.7e-6
110,1.0e-7,1.0e-5
110,1.0e-7,1.04e-5
110,1.0e-7,1.04e-5
110,1.0e-7,1.02e-5
110,1.0e-7,1.03e-5
110,1.0e-7,1.05e-5
135,1.0e-7,1.88e-5
135,1.0e-7,1.57e-5
135,1.0e-7,1.31e-5
135,1.0e-7,1.37e-5
135,1.0e-7,2.49e-5
135,1.0e-7,1.98e-5
135,1.0e-7,1.07e-5
135,1.0e-7,6.33e-5
135,1.0e-7,1.28e-5
135,1.0e-7,8.9e-6
160,1.0e-7,1.33e-5
160,1.0e-7,1.22e-5
160,1.0e-7,1.23e-5
160,1.0e-7,1.28e-5
160,1.0e-7,1.22e-5
160,1.0e-7,1.25e-5
160,1.0e-7,1.28e-5
160,1.0e-7,1.22e-5
160,2.0e-7,1.19e-5
160,1.0e-7,1.24e-5
185,1.0e-7,2.09e-5
185,1.0e-7,1.82e-5
185,2.0e-7,2.41e-5
185,1.0e-7,1.87e-5
185,2.0e-7,1.71e-5
185,1.0e-7,1.73e-5
185,1.0e-7,1.75e-5
185,1.0e-7,2.19e-5
185,1.0e-7,1.87e-5
185,1.0e-7,1.74e-5
210,1.0e-7,2.49e-5
210,2.0e-7,2.82e-5
210,1.0e-7,2.34e-5
210,1.0e-7,2.21e-5
210,2.0e-7,2.22e-5
210,2.0e-7,2.2e-5
210,1.0e-7,2.23e-5
210,1.0e-7,2.25e-5
210,1.0e-7,2.62e-5
210,2.0e-7,2.33e-5
235,1.0e-7,2.87e-5
235,2.0e-7,2.8e-5
235,2.0e-7,2.88e-5
235,2.0e-7,2.83e-5
235,1.0e-7,2.91e-5
235,2.0e-7,2.8e-5
235,2.0e-7,3.74e-5
235,2.0e-7,3.18e-5
235,1.0e-7,3.03e-5
235,2.0e-7,2.98e-5
260,1.0e-7,3.61e-5
260,2.0e-7,3.9e-5
260,2.0e-7,3.28e-5
260,1.0e-7,3.29e-5
260,2.0e-7,3.27e-5
260,2.0e-7,3.27e-5
260,2.0e-7,3.26e-5
260,1.0e-7,3.69e-5
260,2.0e-7,3.45e-5
260,1.0e-7,3.49e-5
285,2.0e-7,4.35e-5
285,2.0e-7,4.3e-5
285,2.0e-7,5.09e-5
285,2.0e-7,4.68e-5
285,2.0e-7,4.32e-5
285,2.0e-7,4.33e-5
285,2.0e-7,4.36e-5
285,2.0e-7,4.45e-5
285,2.0e-7,4.32e-5
285,2.0e-7,4.38e-5
310,2.0e-7,5.21e-5
310,3.0e-7,5.2e-5
310,2.0e-7,5.21e-5
310,3.0e-7,5.2e-5
310,2.0e-7,6.31e-5
310,2.0e-7,5.46e-5
310,3.0e-7,5.5e-5
310,2.0e-7,5.21e-5
310,2.0e-7,5.23e-5
310,2.0e-7,5.19e-5
335,3.0e-7,6.22e-5
335,2.0e-7,6.19e-5
335,3.0e-7,6.21e-5
335,2.0e-7,6.18e-5
335,2.0e-7,0.0001194
335,2.0e-7,9.06e-5
335,3.0e-7,9.05e-5
335,3.0e-7,8.55e-5
335,2.0e-7,8.98e-5
335,2.0e-7,7.25e-5
360,3.0e-7,6.72e-5
360,2.0e-7,6.68e-5
360,2.0e-7,6.42e-5
360,2.0e-7,6.47e-5
360,2.0e-7,6.46e-5
360,3.0e-7,6.46e-5
360,3.0e-7,6.47e-5
360,2.0e-7,6.44e-5
360,3.0e-7,6.95e-5
360,2.0e-7,6.89e-5
385,3.0e-7,7.93e-5
385,3.0e-7,7.88e-5
385,3.0e-7,8.02e-5
385,3.0e-7,7.93e-5
385,3.0e-7,7.84e-5
385,3.0e-7,7.94e-5
385,3.0e-7,9.33e-5
385,3.0e-7,7.57e-5
385,3.0e-7,7.64e-5
385,3.0e-7,7.46e-5
410,3.0e-7,8.55e-5
410,3.0e-7,8.55e-5
410,2.0e-7,8.47e-5
410,3.0e-7,8.5e-5
410,3.0e-7,9.33e-5
410,2.0e-7,9.03e-5
410,2.0e-7,9.11e-5
410,3.0e-7,9.21e-5
410,2.0e-7,9.31e-5
410,2.0e-7,8.96e-5
435,3.0e-7,0.0001011
435,2.0e-7,0.0001149
435,3.0e-7,0.0001022
435,3.0e-7,0.0001012
435,3.0e-7,0.0001031
435,3.0e-7,0.0001021
435,3.0e-7,0.0001009
435,2.0e-7,0.0001015
435,3.0e-7,0.0001047
435,2.0e-7,0.0001017
460,2.0e-7,0.0001119
460,3.0e-7,0.0001131
460,2.0e-7,0.0001035
460,3.0e-7,0.0001072
460,3.0e-7,0.0001103
460,3.0e-7,0.0001072
460,3.0e-7,0.0001067
460,3.0e-7,0.0001058
460,3.0e-7,0.0001083
460,2.0e-7,0.000106
485,3.0e-7,0.0001205
485,3.0e-7,0.0001223
485,4.0e-7,0.0001236
485,3.0e-7,0.0001222
485,3.0e-7,0.0001225
485,3.0e-7,0.0001227
485,3.0e-7,0.0001222
485,3.0e-7,0.0001212
485,3.0e-7,0.000122
485,3.0e-7,0.0001216
